name,variant,p,layer,subspace,alpha,accuracy,delta_accuracy,equivariance,delta_equivariance,rank,is_random_control,is_energy_matched
M04_p113_s42,RAW,113,0,A,0.0,0.956,0.0,0.934,0.0,6,0,0
M04_p113_s42,RAW,113,0,A,0.25,0.95,-0.006000000000000005,0.924,-0.010000000000000009,6,0,0
M04_p113_s42,RAW,113,0,A,0.5,0.95,-0.006000000000000005,0.918,-0.016000000000000014,6,0,0
M04_p113_s42,RAW,113,0,A,0.75,0.944,-0.01200000000000001,0.896,-0.038000000000000034,6,0,0
M04_p113_s42,RAW,113,0,A,1.0,0.762,-0.19399999999999995,0.614,-0.32000000000000006,6,0,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.97,0.014000000000000012,0.94,0.005999999999999894,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.975,0.019000000000000017,0.95,0.015999999999999903,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.975,0.019000000000000017,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.965,0.009000000000000008,0.94,0.005999999999999894,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.965,0.009000000000000008,0.95,0.015999999999999903,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.97,0.014000000000000012,0.95,0.015999999999999903,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.965,0.009000000000000008,0.945,0.010999999999999899,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.965,0.009000000000000008,0.95,0.015999999999999903,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.975,0.019000000000000017,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.96,0.0040000000000000036,0.93,-0.0040000000000000036,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.975,0.019000000000000017,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.965,0.009000000000000008,0.945,0.010999999999999899,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.965,0.009000000000000008,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,0,random_A,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,0,B,0.0,0.956,0.0,0.934,0.0,15,0,0
M04_p113_s42,RAW,113,0,B,0.25,0.954,-0.0020000000000000018,0.93,-0.0040000000000000036,15,0,0
M04_p113_s42,RAW,113,0,B,0.5,0.95,-0.006000000000000005,0.916,-0.018000000000000016,15,0,0
M04_p113_s42,RAW,113,0,B,0.75,0.912,-0.04399999999999993,0.842,-0.09200000000000008,15,0,0
M04_p113_s42,RAW,113,0,B,1.0,0.602,-0.354,0.332,-0.6020000000000001,15,0,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.97,0.014000000000000012,0.945,0.010999999999999899,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.97,0.014000000000000012,0.95,0.015999999999999903,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.965,0.009000000000000008,0.95,0.015999999999999903,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.96,0.0040000000000000036,0.925,-0.009000000000000008,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.97,0.014000000000000012,0.95,0.015999999999999903,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.975,0.019000000000000017,0.96,0.025999999999999912,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.97,0.014000000000000012,0.94,0.005999999999999894,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.975,0.019000000000000017,0.945,0.010999999999999899,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.96,0.0040000000000000036,0.945,0.010999999999999899,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.96,0.0040000000000000036,0.945,0.010999999999999899,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.96,0.0040000000000000036,0.945,0.010999999999999899,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.97,0.014000000000000012,0.945,0.010999999999999899,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.965,0.009000000000000008,0.93,-0.0040000000000000036,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.955,-0.0010000000000000009,0.93,-0.0040000000000000036,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.97,0.014000000000000012,0.95,0.015999999999999903,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.945,-0.01100000000000001,0.915,-0.019000000000000017,15,1,0
M04_p113_s42,RAW,113,0,random_B,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,15,1,0
M04_p113_s42,RAW,113,0,AB,0.0,0.956,0.0,0.934,0.0,81,0,0
M04_p113_s42,RAW,113,0,AB,0.25,0.95,-0.006000000000000005,0.922,-0.01200000000000001,81,0,0
M04_p113_s42,RAW,113,0,AB,0.5,0.948,-0.008000000000000007,0.916,-0.018000000000000016,81,0,0
M04_p113_s42,RAW,113,0,AB,0.75,0.928,-0.027999999999999914,0.87,-0.06400000000000006,81,0,0
M04_p113_s42,RAW,113,0,AB,1.0,0.688,-0.268,0.49,-0.44400000000000006,81,0,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.915,-0.040999999999999925,0.845,-0.08900000000000008,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.955,-0.0010000000000000009,0.93,-0.0040000000000000036,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.945,-0.01100000000000001,0.905,-0.029000000000000026,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.92,-0.03599999999999992,0.88,-0.05400000000000005,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.86,-0.09599999999999997,0.74,-0.19400000000000006,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.93,-0.025999999999999912,0.885,-0.049000000000000044,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.91,-0.04599999999999993,0.85,-0.08400000000000007,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.95,-0.006000000000000005,0.92,-0.014000000000000012,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.835,-0.121,0.705,-0.2290000000000001,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.895,-0.06099999999999994,0.83,-0.10400000000000009,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.92,-0.03599999999999992,0.875,-0.05900000000000005,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.95,-0.006000000000000005,0.91,-0.02400000000000002,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.85,-0.10599999999999998,0.73,-0.20400000000000007,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.96,0.0040000000000000036,0.935,0.0010000000000000009,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.955,-0.0010000000000000009,0.94,0.005999999999999894,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.945,-0.01100000000000001,0.895,-0.039000000000000035,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.95,-0.006000000000000005,0.94,0.005999999999999894,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.865,-0.09099999999999997,0.775,-0.15900000000000003,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.935,-0.020999999999999908,0.905,-0.029000000000000026,81,1,0
M04_p113_s42,RAW,113,0,random_AB,1.0,0.735,-0.22099999999999997,0.545,-0.389,81,1,0
M04_p113_s42,RAW,113,1,A,0.0,0.956,0.0,0.934,0.0,6,0,0
M04_p113_s42,RAW,113,1,A,0.25,0.964,0.008000000000000007,0.94,0.005999999999999894,6,0,0
M04_p113_s42,RAW,113,1,A,0.5,0.748,-0.20799999999999996,0.56,-0.374,6,0,0
M04_p113_s42,RAW,113,1,A,0.75,0.154,-0.8019999999999999,0.024,-0.91,6,0,0
M04_p113_s42,RAW,113,1,A,1.0,0.022,-0.9339999999999999,0.012,-0.922,6,0,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.975,0.019000000000000017,0.965,0.030999999999999917,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.965,0.009000000000000008,0.95,0.015999999999999903,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.95,0.015999999999999903,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.965,0.009000000000000008,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.975,0.019000000000000017,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.975,0.019000000000000017,0.965,0.030999999999999917,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.975,0.019000000000000017,0.965,0.030999999999999917,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.96,0.0040000000000000036,0.94,0.005999999999999894,6,1,0
M04_p113_s42,RAW,113,1,random_A,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,6,1,0
M04_p113_s42,RAW,113,1,B,0.0,0.956,0.0,0.934,0.0,15,0,0
M04_p113_s42,RAW,113,1,B,0.25,0.956,0.0,0.934,0.0,15,0,0
M04_p113_s42,RAW,113,1,B,0.5,0.956,0.0,0.934,0.0,15,0,0
M04_p113_s42,RAW,113,1,B,0.75,0.956,0.0,0.934,0.0,15,0,0
M04_p113_s42,RAW,113,1,B,1.0,0.006,-0.95,0.0,-0.934,15,0,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.975,0.019000000000000017,0.96,0.025999999999999912,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.965,0.009000000000000008,0.94,0.005999999999999894,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.965,0.009000000000000008,0.945,0.010999999999999899,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.975,0.019000000000000017,0.96,0.025999999999999912,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.965,0.009000000000000008,0.95,0.015999999999999903,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.97,0.014000000000000012,0.955,0.020999999999999908,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.96,0.0040000000000000036,0.95,0.015999999999999903,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.965,0.009000000000000008,0.955,0.020999999999999908,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.965,0.009000000000000008,0.955,0.020999999999999908,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.965,0.009000000000000008,0.955,0.020999999999999908,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.97,0.014000000000000012,0.96,0.025999999999999912,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.975,0.019000000000000017,0.955,0.020999999999999908,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.96,0.0040000000000000036,0.94,0.005999999999999894,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.96,0.0040000000000000036,0.935,0.0010000000000000009,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.97,0.014000000000000012,0.945,0.010999999999999899,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.96,0.0040000000000000036,0.945,0.010999999999999899,15,1,0
M04_p113_s42,RAW,113,1,random_B,1.0,0.965,0.009000000000000008,0.95,0.015999999999999903,15,1,0
M04_p113_s42,RAW,113,1,AB,0.0,0.956,0.0,0.934,0.0,90,0,0
M04_p113_s42,RAW,113,1,AB,0.25,0.956,0.0,0.934,0.0,90,0,0
M04_p113_s42,RAW,113,1,AB,0.5,0.956,0.0,0.934,0.0,90,0,0
M04_p113_s42,RAW,113,1,AB,0.75,0.956,0.0,0.934,0.0,90,0,0
M04_p113_s42,RAW,113,1,AB,1.0,0.01,-0.946,0.0,-0.934,90,0,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.75,-0.20599999999999996,0.585,-0.3490000000000001,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.72,-0.236,0.585,-0.3490000000000001,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.77,-0.18599999999999994,0.605,-0.32900000000000007,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.865,-0.09099999999999997,0.77,-0.16400000000000003,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.775,-0.18099999999999994,0.56,-0.374,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.805,-0.1509999999999999,0.68,-0.254,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.76,-0.19599999999999995,0.57,-0.3640000000000001,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.77,-0.18599999999999994,0.635,-0.29900000000000004,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.8,-0.15599999999999992,0.67,-0.264,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.765,-0.19099999999999995,0.56,-0.374,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.675,-0.2809999999999999,0.475,-0.4590000000000001,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.785,-0.17099999999999993,0.65,-0.28400000000000003,90,1,0
M04_p113_s42,RAW,113,1,random_AB,1.0,0.825,-0.131,0.59,-0.3440000000000001,90,1,0
